[0.585]	[percentage: 0.13%]
[0.586, 0.592]	[5 numbers] [percentage: 0.63%]
[0.593]	[percentage: 0.13%]
[0.596, 0.606]	[7 numbers] [percentage: 0.88%]
[0.607]	[percentage: 0.13%]
[0.608, 0.621]	[9 numbers] [percentage: 1.14%]
[0.622, 0.626]	[4 numbers] [percentage: 0.51%]
[0.627, 0.628]	[2 numbers] [percentage: 0.25%]
[0.63, 0.637]	[5 numbers] [percentage: 0.63%]
[0.639]	[percentage: 0.13%]
[0.64, 0.644]	[4 numbers] [percentage: 0.51%]
[0.645, 0.6510000000000001]	[3 numbers] [percentage: 0.38%]
[0.652]	[percentage: 0.13%]
[0.653, 0.655]	[2 numbers] [percentage: 0.25%]
[0.657]	[percentage: 0.13%]
[0.66, 0.6629999999999999]	[2 numbers] [percentage: 0.25%]
[0.666, 0.6679999999999999]	[2 numbers] [percentage: 0.25%]
[0.67]	[percentage: 0.13%]
[0.674, 0.675]	[2 numbers] [percentage: 0.25%]
[0.676, 0.677]	[2 numbers] [percentage: 0.25%]
[0.681]	[percentage: 0.13%]
[0.682, 0.693]	[6 numbers] [percentage: 0.76%]
[0.694]	[percentage: 0.13%]
[0.696]	[percentage: 0.13%]
[0.7, 0.7019999999999998]	[2 numbers] [percentage: 0.25%]
[0.705]	[percentage: 0.13%]
[0.7070000000000001, 0.7170000000000001]	[3 numbers] [percentage: 0.38%]
[0.718]	[percentage: 0.13%]
[0.7189999999999999]	[percentage: 0.13%]
[0.72, 0.726]	[5 numbers] [percentage: 0.63%]
[0.73, 0.731]	[2 numbers] [percentage: 0.25%]
[0.732, 0.735]	[3 numbers] [percentage: 0.38%]
[0.737]	[percentage: 0.13%]
[0.74, 0.7490000000000001]	[6 numbers] [percentage: 0.76%]
[0.75, 0.7509999999999999]	[2 numbers] [percentage: 0.25%]
[0.752, 0.753]	[2 numbers] [percentage: 0.25%]
[0.754]	[percentage: 0.13%]
[0.755]	[percentage: 0.13%]
[0.757, 0.7659999999999999]	[5 numbers] [percentage: 0.63%]
[0.767, 0.777]	[5 numbers] [percentage: 0.63%]
[0.778]	[percentage: 0.13%]
[0.779]	[percentage: 0.13%]
[0.78, 0.7810000000000001]	[2 numbers] [percentage: 0.25%]
[0.782]	[percentage: 0.13%]
[0.79, 0.801]	[4 numbers] [percentage: 0.51%]
[0.802]	[percentage: 0.13%]
[0.8030000000000002]	[percentage: 0.13%]
[0.804, 0.807]	[2 numbers] [percentage: 0.25%]
[0.8080000000000002, 0.809]	[2 numbers] [percentage: 0.25%]
[0.81, 0.814]	[2 numbers] [percentage: 0.25%]
[0.818, 0.825]	[4 numbers] [percentage: 0.51%]
[0.826]	[percentage: 0.13%]
[0.8269999999999998]	[percentage: 0.13%]
[0.828]	[percentage: 0.13%]
[0.829, 0.8320000000000001]	[3 numbers] [percentage: 0.38%]
[0.834]	[percentage: 0.13%]
[0.839, 0.853]	[8 numbers] [percentage: 1.01%]
[0.855, 0.8590000000000001]	[4 numbers] [percentage: 0.51%]
[0.86, 0.865]	[2 numbers] [percentage: 0.25%]
[0.866, 0.871]	[4 numbers] [percentage: 0.51%]
[0.872, 0.8759999999999999]	[2 numbers] [percentage: 0.25%]
[0.877]	[percentage: 0.13%]
[0.88, 0.882]	[2 numbers] [percentage: 0.25%]
[0.884, 0.893]	[4 numbers] [percentage: 0.51%]
[0.894, 0.8960000000000001]	[3 numbers] [percentage: 0.38%]
[0.897, 0.9]	[2 numbers] [percentage: 0.25%]
[0.9010000000000001, 0.902]	[2 numbers] [percentage: 0.25%]
[0.904]	[percentage: 0.13%]
[0.905, 0.907]	[2 numbers] [percentage: 0.25%]
[0.909]	[percentage: 0.13%]
[0.911]	[percentage: 0.13%]
[0.915, 0.9179999999999999]	[2 numbers] [percentage: 0.25%]
[0.92, 0.926]	[4 numbers] [percentage: 0.51%]
[0.93, 0.932]	[2 numbers] [percentage: 0.25%]
[0.934, 0.943]	[5 numbers] [percentage: 0.63%]
[0.944]	[percentage: 0.13%]
[0.945]	[percentage: 0.13%]
[0.948]	[percentage: 0.13%]
[0.949]	[percentage: 0.13%]
[0.95]	[percentage: 0.13%]
[0.9570000000000001, 0.9670000000000001]	[4 numbers] [percentage: 0.51%]
[0.968]	[percentage: 0.13%]
[0.972, 0.975]	[3 numbers] [percentage: 0.38%]
[0.976]	[percentage: 0.13%]
[0.982]	[percentage: 0.13%]
[0.983, 0.993]	[4 numbers] [percentage: 0.51%]
[0.9940000000000001]	[percentage: 0.13%]
[0.998]	[percentage: 0.13%]
[1.0]	[percentage: 0.13%]
[1.002, 1.005]	[2 numbers] [percentage: 0.25%]
[1.006]	[percentage: 0.13%]
[1.007, 1.017]	[4 numbers] [percentage: 0.51%]
[1.018]	[percentage: 0.13%]
[1.02]	[percentage: 0.13%]
[1.022, 1.023]	[2 numbers] [percentage: 0.25%]
[1.025]	[percentage: 0.13%]
[1.032, 1.034]	[2 numbers] [percentage: 0.25%]
[1.036, 1.037]	[2 numbers] [percentage: 0.25%]
[1.042]	[percentage: 0.13%]
[1.043]	[percentage: 0.13%]
[1.045, 1.046]	[2 numbers] [percentage: 0.25%]
[1.05]	[percentage: 0.13%]
[1.055, 1.057]	[2 numbers] [percentage: 0.25%]
[1.059]	[percentage: 0.13%]
[1.065, 1.068]	[2 numbers] [percentage: 0.25%]
[1.072, 1.073]	[2 numbers] [percentage: 0.25%]
[1.074]	[percentage: 0.13%]
[1.075]	[percentage: 0.13%]
[1.076]	[percentage: 0.13%]
[1.077, 1.08]	[2 numbers] [percentage: 0.25%]
[1.082]	[percentage: 0.13%]
[1.087]	[percentage: 0.13%]
[1.089]	[percentage: 0.13%]
[1.093]	[percentage: 0.13%]
[1.095, 1.098]	[2 numbers] [percentage: 0.25%]
[1.1]	[percentage: 0.13%]
[1.105]	[percentage: 0.13%]
[1.107]	[percentage: 0.13%]
[1.112, 1.116]	[2 numbers] [percentage: 0.25%]
[1.118, 1.125]	[4 numbers] [percentage: 0.51%]
[1.128]	[percentage: 0.13%]
[1.13, 1.132]	[2 numbers] [percentage: 0.25%]
[1.134, 1.143]	[3 numbers] [percentage: 0.38%]
[1.144, 1.148]	[3 numbers] [percentage: 0.38%]
[1.15]	[percentage: 0.13%]
[1.152, 1.154]	[2 numbers] [percentage: 0.25%]
[1.155]	[percentage: 0.13%]
[1.157]	[percentage: 0.13%]
[1.159]	[percentage: 0.13%]
[1.162]	[percentage: 0.13%]
[1.168]	[percentage: 0.13%]
[1.17]	[percentage: 0.13%]
[1.173]	[percentage: 0.13%]
[1.175]	[percentage: 0.13%]
[1.176]	[percentage: 0.13%]
[1.177]	[percentage: 0.13%]
[1.182, 1.192]	[3 numbers] [percentage: 0.38%]
[1.193, 1.195]	[2 numbers] [percentage: 0.25%]
[1.2, 1.207]	[3 numbers] [percentage: 0.38%]
[1.21, 1.218]	[4 numbers] [percentage: 0.51%]
[1.22]	[percentage: 0.13%]
[1.221]	[percentage: 0.13%]
[1.223]	[percentage: 0.13%]
[1.225, 1.226]	[2 numbers] [percentage: 0.25%]
[1.229]	[percentage: 0.13%]
[1.232]	[percentage: 0.13%]
[1.235]	[percentage: 0.13%]
[1.237]	[percentage: 0.13%]
[1.238]	[percentage: 0.13%]
[1.241]	[percentage: 0.13%]
[1.243]	[percentage: 0.13%]
[1.244]	[percentage: 0.13%]
[1.255, 1.257]	[2 numbers] [percentage: 0.25%]
[1.26, 1.264]	[2 numbers] [percentage: 0.25%]
[1.265]	[percentage: 0.13%]
[1.268]	[percentage: 0.13%]
[1.27]	[percentage: 0.13%]
[1.276]	[percentage: 0.13%]
[1.281]	[percentage: 0.13%]
[1.2819999999999998]	[percentage: 0.13%]
[1.287, 1.293]	[2 numbers] [percentage: 0.25%]
[1.297, 1.307]	[3 numbers] [percentage: 0.38%]
[1.31]	[percentage: 0.13%]
[1.3159999999999998]	[percentage: 0.13%]
[1.318]	[percentage: 0.13%]
[1.33, 1.337]	[4 numbers] [percentage: 0.51%]
[1.34, 1.342]	[2 numbers] [percentage: 0.25%]
[1.3430000000000002]	[percentage: 0.13%]
[1.344]	[percentage: 0.13%]
[1.348, 1.355]	[3 numbers] [percentage: 0.38%]
[1.357]	[percentage: 0.13%]
[1.358]	[percentage: 0.13%]
[1.36, 1.3660000000000003]	[2 numbers] [percentage: 0.25%]
[1.37, 1.375]	[3 numbers] [percentage: 0.38%]
[1.3769999999999998]	[percentage: 0.13%]
[1.38, 1.381]	[2 numbers] [percentage: 0.25%]
[1.382]	[percentage: 0.13%]
[1.383, 1.393]	[3 numbers] [percentage: 0.38%]
[1.395]	[percentage: 0.13%]
[1.3969999999999998, 1.4069999999999998]	[3 numbers] [percentage: 0.38%]
[1.41]	[percentage: 0.13%]
[1.418]	[percentage: 0.13%]
[1.423, 1.432]	[2 numbers] [percentage: 0.25%]
[1.433, 1.453]	[5 numbers] [percentage: 0.63%]
[1.457, 1.4609999999999999]	[4 numbers] [percentage: 0.51%]
[1.465]	[percentage: 0.13%]
[1.467]	[percentage: 0.13%]
[1.4680000000000002]	[percentage: 0.13%]
[1.47]	[percentage: 0.13%]
