VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
1.04,6.0297e-08,0.0010361,0.0026398,0.0032252,0.0021486
1.08,-5.88998e-08,0.0011518,0.0029642,0.0037072,0.0024144
1.12,6.04496e-08,0.0012726,0.0033054,0.004099,0.0026828
1.16,-5.855479999999999e-08,0.0013912,0.0036266,0.0044332,0.002954
1.2,5.752899999999999e-08,0.0015142,0.0037286,0.004751,0.003278
1.24,-5.51002e-08,0.0016374,0.0039804,0.0051024,0.0036744
1.28,5.695579999999999e-08,0.0017652,0.0042766,0.0054582,0.0038982
1.32,-3.93628e-08,0.0018926,0.0045634,0.005746,0.0043202
1.36,4.47816e-08,0.0020298,0.0048824,0.0057936,0.0044916
1.4,-3.942259999999999e-08,0.0021606,0.0052244,0.0059212,0.0048138
1.44,8.8816e-09,0.0022964,0.0055834,0.00624,0.0051474
1.48,8.0088e-09,0.0024352,0.00597,0.0065842,0.0055
1.52,3.7158e-08,0.0025736,0.0063822,0.0069892,0.0058734
1.56,-1.3801599999999998e-08,0.0027204,0.0068176,0.0073918,0.006267
1.6,-3.6153e-08,0.002866,0.007273,0.0078006,0.006676
1.64,5.7e-08,0.003023,0.0077446,0.0082796,0.007107
1.68,-5.40212e-08,0.003178,0.0082308,0.0087604,0.0075538
1.72,6.326839999999999e-08,0.0033392,0.0087282,0.0092302,0.0080132
1.76,-5.677259999999999e-08,0.0035038,0.0092356,0.0097126,0.0084848
1.8,6.01354e-08,0.0036762,0.0097534,0.0102086,0.0089674
1.84,-4.13148e-08,0.0038444,0.0102794,0.0107134,0.0094592
1.88,3.90216e-08,0.0040154,0.0108114,0.0112272,0.0099574
1.92,-1.05554e-08,0.004201,0.0113522,0.011754,0.010463
1.96,-3.53046e-08,0.0043858,0.011902,0.012286,0.0109758
2.0,5.942439999999999e-08,0.004584,0.012456,0.012824,0.0114924
