VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
1.56,0.012922,0.0012262,0.0058516,0.0085084,0.0066408
1.6,0.013444,0.0013736,0.006187,0.0089268,0.0070378
1.64,0.013974,0.0015316,0.0065356,0.0093596,0.0074512
1.68,0.014496,0.001684,0.0069004,0.0097976,0.007881
1.72,0.015024,0.0018606,0.0072802,0.0102382,0.0083264
1.76,0.015574,0.0020458,0.0076732,0.0106844,0.0087864
1.8,0.016112,0.0022316,0.0080796,0.0111398,0.0092584
1.84,0.016668,0.0024332,0.008502,0.011612,0.009742
1.88,0.017224,0.0026354,0.008941,0.012084,0.0102336
1.92,0.017766,0.0028434,0.0093976,0.01263,0.0107374
1.96,0.017848,0.0030564,0.0098708,0.013152,0.0112468
2.0,0.018642,0.0032822,0.0103604,0.013656,0.011776
