VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
1.28,0.012428,1.0973200000000002e-05,5.7494e-07,0.013746,0.012158
1.32,0.013396,1.253e-05,5.5694e-07,0.01482,0.013732
1.36,0.014366,1.348e-05,1.0309000000000002e-06,0.015906,0.015376
1.4,0.015338,1.5198e-05,1.7024000000000002e-06,0.016972,0.01711
1.44,0.016306,1.9524e-05,2.1392e-06,0.018012,0.01886
1.48,0.017286,2.9966e-05,2.8264e-06,0.019126,0.02067
1.52,0.018276,4.163e-05,3.9114e-06,0.020204,0.022476
1.56,0.019296,5.8424e-05,5.572700000000001e-06,0.021242,0.024296
1.6,0.020382,8.159600000000001e-05,7.9186e-06,0.022294,0.026212
1.64,0.021564,0.000112452,1.1114e-05,0.023346,0.028094
1.68,0.022884,0.0001508,1.5288e-05,0.024334,0.029946
1.72,0.024354,0.0002017,2.0518e-05,0.025318,0.03178
1.76,0.025966,0.00026366,2.683e-05,0.026514,0.033644
1.8,0.02769,0.00033788,3.4344e-05,0.027534,0.035462
1.84,0.029514,0.0004254,0.00010982,0.028582,0.037268
1.88,0.031396,0.00052588,0.00014696,0.029644,0.039646
1.92,0.033432,0.00064012,0.0001916,0.030792,0.041828
1.96,0.035422,0.00077092,0.00024456,0.031706,0.043944
2.0,0.037454,0.00091868,0.00030628,0.03263,0.046006
