VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
1.24,-6.76e-05,0.002901,0.00036736,0.00023486,0.00034352
1.28,0.00079046,0.0031136,0.00043714,0.0002851,0.00040956
1.32,0.0016712,0.0033636,0.00051614,0.00034282,0.00048328
1.36,0.002547,0.0036332,0.00060512,0.00040878,0.00056548
1.4,0.0034212,0.0039496,0.00070424,0.0004835,0.00065686
1.44,0.0042934,0.00436,0.00081458,0.00056706,0.00075736
1.48,0.0051748,0.0045106,0.00093644,0.00066092,0.00086722
1.52,0.006049,0.0050872,0.00107052,0.00076498,0.00098802
1.56,0.0069256,0.005275,0.0012176,0.0008798,0.00111876
1.6,0.0078022,0.0056822,0.0013772,0.00100654,0.0012602
1.64,0.008676,0.0063644,0.0015512,0.00114478,0.0014122
1.68,0.009546,0.0068128,0.0017378,0.0012958,0.0015736
1.72,0.010419,0.0073302,0.00194,0.0014594,0.0017462
1.76,0.0112926,0.0078174,0.0021558,0.0016356,0.0019284
1.8,0.012172,0.0083064,0.002388,0.0018264,0.0021238
1.84,0.013046,0.0087952,0.0026346,0.0020308,0.0023286
1.88,0.013914,0.0092394,0.0028978,0.0022494,0.002544
1.92,0.014782,0.0097112,0.0031766,0.0024826,0.0027698
1.96,0.015656,0.0101744,0.0034714,0.0027306,0.00301
2.0,0.016524,0.0106792,0.0037824,0.002994,0.0032582
