VREF,IDD1,IDD2,IDD3,IDD4,IDD5
0.52,5.0582e-09,5.1805e-09,4.27468e-08,3.15854e-08,3.15382e-08
0.56,3.8135999999999985e-09,-1.91e-09,7.922439999999999e-08,5.45894e-08,5.939379999999999e-08
0.6,5.1913999999999984e-09,4.5324e-09,9.5203e-08,9.15308e-08,8.00792e-08
0.64,4.2112e-09,-1.8126e-09,1.4594e-07,1.5212e-07,1.2838e-07
0.68,4.2864e-09,3.9553e-09,2.6174e-07,2.277e-07,2.1972e-07
0.72,5.635e-09,-1.7019e-09,3.3192e-07,3.2926e-07,3.0362e-07
0.76,2.7072e-09,3.2369e-09,4.622e-07,4.9298e-07,4.3614e-07
0.8,5.491199999999999e-09,-1.6272e-09,6.8546e-07,6.936e-07,6.3248e-07
0.84,2.0234e-09,3.0753e-09,9.0422e-07,8.9432e-07,8.6934e-07
0.88,3.0363999999999996e-09,-1.5918e-09,8.7634e-07,7.886e-07,8.2358e-07
0.92,4.9478e-09,6.0104e-09,1.1976000000000002e-06,1.1344e-06,1.1401e-06
0.96,1.8239999999999999e-10,-2.051e-09,2.1318e-06,1.9522e-06,2.0313000000000004e-06
1.0,3.6221999999999998e-09,5.418e-09,3.9385000000000005e-06,3.5818e-06,3.8107e-06
1.04,4.5825999999999995e-09,-1.9383e-09,7.733300000000001e-06,7.1289000000000005e-06,7.7439e-06
1.08,1.9219999999999998e-09,4.7257e-09,1.5198e-05,1.381e-05,1.5766e-05
1.12,1.8499999999999998e-09,-1.8186e-09,3.13e-05,2.8356e-05,3.5012e-05
1.16,4.729e-09,3.5154e-09,6.5764e-05,5.7292e-05,9.5634e-05
1.2,3.425999999999999e-09,-1.6353e-09,0.00017734,0.000114274,0.001137
1.24,2.1356e-09,2.9242e-09,0.0018996,0.00021932,0.0026012
1.28,5.053e-09,-1.571e-09,0.003465,0.00039548,0.0040966
1.32,3.8269999999999985e-09,5.7869e-09,0.0050012,0.000662,0.0056314
1.36,2.5323999999999997e-09,-2.0235e-09,0.0065454,0.00102616,0.007196
1.4,1.2228e-09,5.1724e-09,0.0080968,0.0014788,0.0087728
1.44,2.5635999999999997e-09,-1.8212e-09,0.0096558,0.0020004,0.010367
1.48,5.3935999999999984e-09,5.6317e-09,0.0112224,0.0025784,0.011982
1.52,4.1552e-09,-1.6464e-09,0.012802,0.003195,0.013598
1.56,1.8557999999999997e-09,4.1838e-09,0.014368,0.0038368,0.015218
1.6,5.1731999999999995e-09,-1.4913e-09,0.015932,0.0045064,0.016838
1.64,3.9563999999999985e-09,5.7319e-09,0.017486,0.0051886,0.018452
1.68,-1.0199999999999997e-10,-1.6267e-09,0.019026,0.00589,0.020058
1.72,5.864e-09,2.9283e-09,0.020544,0.0066044,0.021654
1.76,4.524e-09,-1.5435e-09,0.022052,0.0073422,0.023232
1.8,3.269599999999999e-09,5.6163e-09,0.02356,0.0081894,0.02478
1.84,2.2253999999999998e-09,-1.9695e-09,0.025052,0.008991,0.02629
1.88,3.0665999999999997e-09,5.1366e-09,0.026522,0.009789,0.027756
1.92,4.492799999999998e-09,-1.8698e-09,0.027962,0.0106946,0.029178
1.96,3.1917999999999997e-09,4.4085e-09,0.029328,0.012024,0.030568
2.0,1.9964e-09,-1.7598e-09,0.03053,0.012956,0.031916
