VREF,IDD1,IDD2,IDD3,IDD4,IDD5
1.16,9.4501e-10,4.4194e-10,1.2068e-07,4.53112e-08,1.3986e-07
1.2,2.4241e-09,1.5593e-09,1.7094e-07,6.78482e-08,3.8218e-07
1.24,5.1457e-09,3.639e-09,2.3692e-07,9.9371e-08,1.00028e-06
1.28,9.4927e-09,7.388899999999998e-09,3.2192e-07,1.4106e-07,2.6606000000000004e-06
1.32,1.6538399999999997e-08,1.34868e-08,4.3004e-07,1.9692e-07,6.198500000000001e-06
1.36,2.73118e-08,2.28828e-08,5.6568e-07,2.6794e-07,1.0642e-05
1.4,4.30866e-08,3.73856e-08,7.342e-07,3.611e-07,1.396e-05
1.44,6.54816e-08,5.78208e-08,9.4042e-07,4.7488e-07,1.5612e-05
1.48,9.64136e-08,8.70756e-08,1.1927e-06,6.2308e-07,1.633e-05
1.52,1.3846e-07,1.2648e-07,1.4958000000000001e-06,8.026e-07,1.7046e-05
1.56,1.9508e-07,1.7932e-07,1.8581000000000005e-06,1.03318e-06,1.759e-05
1.6,2.7462e-07,2.5126e-07,2.2918e-06,1.3482e-06,1.7994e-05
1.64,4.0182e-07,3.5314e-07,2.8250000000000005e-06,1.9117000000000003e-06,1.8798e-05
1.68,6.6616e-07,5.2864e-07,3.5519e-06,3.4835e-06,1.9664e-05
1.72,1.3621e-06,9.7934e-07,4.909300000000001e-06,9.6279e-06,2.1082e-05
1.76,3.6462e-06,2.6565000000000003e-06,9.0419e-06,3.7038e-05,2.4502e-05
1.8,1.2964e-05,1.0146e-05,2.5878e-05,0.000156,3.6222e-05
1.84,5.009e-05,4.2074e-05,9.7118e-05,0.00058756,7.845000000000001e-05
1.88,0.0001869,0.00015546,0.0003753,0.001724,0.00023686
1.92,0.00058878,0.00042302,0.0012278,0.003686,0.00078318
1.96,0.0014172,0.00085366,0.0032796,0.0063332,0.0036786
2.0,0.0026136,0.001396,0.0071634,0.009507,0.0079638
