VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
1.2,4.24564e-08,0.007432,0.013862,0.01859,0.016002
1.24,-5.458299999999999e-08,0.007816,0.014928,0.02009,0.017266
1.28,5.660639999999999e-08,0.0080888,0.016004,0.021614,0.018494
1.32,-5.981199999999999e-08,0.0083736,0.017098,0.023126,0.019742
1.36,6.060499999999999e-08,0.0085888,0.018216,0.024642,0.02098
1.4,-5.5846e-08,0.0089086,0.019308,0.0261,0.022178
1.44,4.5538e-08,0.0094206,0.0204,0.027632,0.023362
1.48,-3.38706e-08,0.0098536,0.021498,0.029174,0.024562
1.52,-2.33786e-08,0.0101438,0.022612,0.030716,0.025746
1.56,3.74912e-08,0.0103838,0.023778,0.032266,0.02692
1.6,-5.08652e-08,0.010667,0.024886,0.033826,0.028088
1.64,5.60676e-08,0.0109616,0.02602,0.035406,0.029244
1.68,-5.59684e-08,0.0113114,0.026828,0.03699,0.030382
1.72,5.541319999999999e-08,0.011772,0.028148,0.038522,0.031504
1.76,-5.984919999999999e-08,0.012038,0.029618,0.039578,0.03263
1.8,5.904219999999999e-08,0.012414,0.030904,0.042106,0.033748
1.84,-5.95066e-08,0.012668,0.032238,0.043254,0.034892
1.88,6.040839999999999e-08,0.012976,0.033216,0.048798,0.036128
1.92,-5.9731e-08,0.013326,0.034082,0.050938,0.037392
1.96,5.26884e-08,0.013572,0.035082,0.052872,0.041806
2.0,-5.39212e-08,0.013854,0.035152,0.054882,0.045764
