VDD2,IDD1,IDD2,IDD3,IDD4,IDD5
1.36,0.08833,0.0087404,-5.7443999999999985e-09,0.06252,0.062924
1.4,0.091492,0.0091294,-3.2043e-08,0.064496,0.065622
1.44,0.094522,0.009546,2.194e-08,0.067266,0.068324
1.48,0.097924,0.0099812,9.062e-08,0.070748,0.070988
1.52,0.100004,0.0103974,4.00786e-08,0.07352,0.073636
1.56,0.100002,0.0108012,5.096e-08,0.076272,0.076274
1.6,0.100004,0.0112232,-4.67946e-08,0.07899,0.078864
1.64,0.100004,0.011666,2.359e-09,0.081546,0.081408
1.68,0.100004,0.012098,1.54844e-08,0.084178,0.083828
1.72,0.100002,0.012534,4.45e-08,0.087138,0.08616
1.76,0.100002,0.012974,-3.57474e-08,0.089438,0.088386
1.8,0.100004,0.013418,-5.8609999999999995e-09,0.089016,0.090304
1.84,0.100004,0.013792,3.64e-08,0.091316,0.092074
1.88,0.100002,0.01419,6.844e-08,0.09411,0.093246
1.92,0.100004,0.01457,-4.922e-08,0.09633,0.094512
1.96,0.100002,0.01498,4.27352e-08,0.098364,0.09569
2.0,0.100002,0.015288,2.8601999999999997e-09,0.091228,0.097166
