VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
0.6,-5.907879999999999e-08,5.15724e-08,4.958e-08,6.7638e-06,9.1899e-06
0.64,5.82216e-08,-4.7213e-08,8.812e-09,8.2037e-06,1.02634e-05
0.68,-6.00654e-08,3.8507e-08,8.342e-08,1.1612e-05,1.2836e-05
0.72,6.02762e-08,-2.84952e-08,2.53166e-08,1.8436e-05,1.9744e-05
0.76,-5.967979999999999e-08,1.3231399999999998e-08,1.3848e-07,3.3596e-05,3.6446e-05
0.8,4.994299999999999e-08,-1.7501999999999996e-09,4.49138e-08,6.2204e-05,6.808e-05
0.84,-5.2333e-08,-5.7592e-09,8.306e-08,0.00011028,0.00012254
0.88,5.436539999999999e-08,2.8975999999999996e-09,2.55214e-08,0.0001863,0.00021028
0.92,-5.48156e-08,-1.23434e-08,1.316e-07,0.0002951,0.00033134
0.96,5.64842e-08,2.09756e-08,3.432e-08,0.0004378,0.0004893
1.0,-5.6143e-08,-3.86886e-08,5.728e-08,0.00061616,0.00068058
1.04,5.970399999999999e-08,3.36952e-08,-1.411e-07,0.00082718,0.00089998
1.08,-5.89686e-08,-3.02904e-08,-4.32676e-08,0.00106734,0.00114324
1.12,6.02954e-08,4.97558e-08,-7.902e-08,0.0013414,0.001418
1.16,-3.0356199999999995e-08,-5.00432e-08,-2.32924e-08,0.0016268,0.0016948
1.2,-2.64254e-08,4.93084e-08,-1.3816e-07,0.0019296,0.0019834
1.24,4.48044e-08,-5.063639999999999e-08,-4.41132e-08,0.0022468,0.0022822
1.28,-5.48178e-08,5.07038e-08,-7.926e-08,0.002575,0.0025852
1.32,5.6667e-08,-5.092839999999999e-08,-2.44156e-08,0.002912,0.002894
1.36,-5.9638e-08,4.991239999999999e-08,-9.844e-08,0.0032576,0.0032028
1.4,6.028599999999999e-08,-5.109079999999999e-08,5.394e-08,0.0036058,0.0035138
1.44,-5.558539999999999e-08,5.17494e-08,-3.926599999999999e-09,0.0039604,0.0038282
1.48,4.6509799999999993e-08,-5.112639999999999e-08,5.308e-08,0.0043156,0.004152
1.52,-1.28402e-08,5.082179999999999e-08,-2.8819999999999998e-09,0.0046734,0.0044836
1.56,-5.59504e-08,-5.06214e-08,5.054e-08,0.0050354,0.0048242
1.6,6.049239999999999e-08,4.74716e-08,-2.0962e-09,0.0054046,0.0051734
1.64,-5.97714e-08,-4.76864e-08,4.922e-08,0.0057814,0.0055178
1.68,4.37802e-08,4.73068e-08,1.9299999999999998e-10,0.0061676,0.005877
1.72,-3.22608e-08,-3.45848e-08,4.706e-08,0.006561,0.0062448
1.76,-2.33492e-08,3.68124e-08,1.2761999999999996e-09,0.0069676,0.0066096
1.8,3.94994e-08,-3.4418799999999995e-08,0.0048846,0.0073884,0.0070098
1.84,-5.3139e-08,1.32174e-08,0.0053442,0.0078242,0.0074026
1.88,5.580959999999999e-08,-1.6312199999999998e-08,0.005813,0.0082636,0.007803
1.92,-5.947799999999999e-08,1.34648e-08,0.0063702,0.0087112,0.008207
1.96,5.965239999999999e-08,4.0947999999999995e-09,0.0067834,0.0091618,0.008616
2.0,-5.811899999999999e-08,-1.0767999999999996e-09,0.0071822,0.0096234,0.0090302
