VBB,IDD1,IDD2,IDD3,IDD4,IDD5
1.36,-5.43618e-08,0.016384,0.042948,0.040272,0.04694
1.4,5.696e-08,0.01688,0.044224,0.041528,0.04868
1.44,-5.850559999999999e-08,0.017296,0.04556,0.042846,0.050362
1.48,5.944179999999999e-08,0.01784,0.046906,0.044184,0.051994
1.52,-5.082399999999999e-08,0.0183,0.048334,0.045558,0.05311
1.56,4.678979999999999e-08,0.018846,0.049694,0.046926,0.047702
1.6,-2.17126e-08,0.019308,0.051116,0.048324,0.049826
1.64,1.65172e-08,0.019768,0.052532,0.049708,0.05228
1.68,-1.8441e-08,0.02021,0.054102,0.052136,0.055214
1.72,2.35946e-08,0.020762,0.05554,0.054454,0.057578
1.76,-2.56958e-08,0.021226,0.057138,0.05658,0.060452
1.8,3.0374799999999995e-08,0.021678,0.058608,0.058756,0.06352
1.84,-3.0689999999999996e-09,0.022112,0.060072,0.060972,0.066284
1.88,5.973459999999999e-08,0.022528,0.061544,0.063404,0.068876
1.92,-5.8273e-08,0.022884,0.063184,0.065912,0.071032
1.96,5.71584e-08,0.023178,0.06465,0.068258,0.072966
2.0,-5.54632e-08,0.023284,0.066156,0.070696,0.076424
