VNN,IDD1,IDD2,IDD3,IDD4,IDD5
0.96,-5.637619999999999e-08,0.001947,0.0041448,0.0083828,0.0042408
1.0,5.675839999999999e-08,0.0022912,0.0049522,0.0088478,0.005069
1.04,-5.6490399999999993e-08,0.0026436,0.0057754,0.0094004,0.0059118
1.08,5.5918399999999993e-08,0.003,0.0066086,0.0100388,0.0067674
1.12,-5.88298e-08,0.0033614,0.0074484,0.010743,0.0076278
1.16,5.7799e-08,0.0037246,0.0082986,0.0115006,0.0084992
1.2,-5.72138e-08,0.004087,0.0091536,0.012304,0.0093762
1.24,5.9558e-08,0.0044572,0.0100142,0.013132,0.0102582
1.28,-5.91612e-08,0.0048244,0.0108774,0.013982,0.011144
1.32,5.928279999999999e-08,0.0051952,0.011752,0.014852,0.012042
1.36,-5.603119999999999e-08,0.005569,0.01262,0.015736,0.012934
1.4,5.93526e-08,0.0059428,0.013494,0.016628,0.013826
1.44,-5.86912e-08,0.0063192,0.014368,0.017526,0.014724
1.48,6.073319999999999e-08,0.0066948,0.015246,0.018438,0.015622
1.52,-5.954859999999999e-08,0.0070682,0.016124,0.019354,0.01652
1.56,6.0723e-08,0.0074448,0.017008,0.020274,0.017424
1.6,-5.025959999999999e-08,0.0078094,0.017888,0.0212,0.018326
1.64,5.3761e-08,0.0081934,0.018772,0.022128,0.019232
1.68,-3.29902e-08,0.0085732,0.019654,0.023058,0.02014
1.72,3.7535399999999993e-08,0.008959,0.020542,0.023992,0.021048
1.76,-3.99096e-08,0.009333,0.021424,0.024926,0.021956
1.8,2.40592e-08,0.0096982,0.022318,0.025864,0.022904
1.84,-2.80152e-08,0.0100632,0.023202,0.026804,0.023826
1.88,3.2304e-08,0.0104522,0.024096,0.027744,0.024752
1.92,-2.64816e-08,0.0108452,0.024982,0.028688,0.025686
1.96,5.481879999999999e-08,0.0112258,0.025874,0.02963,0.026608
2.0,-5.58956e-08,0.011592,0.026762,0.030574,0.027532
