VDDQ,IDD1,IDD2,IDD3,IDD4,IDD5
1.32,3.5850000000000004e-06,6.589000000000001e-06,3.1676e-05,0.00030448,0.0002373
1.36,5.1835e-06,7.938900000000001e-06,3.528e-05,0.0003116,0.00024602
1.4,8.8417e-06,9.0069e-06,3.9794e-05,0.00031892,0.00025432
1.44,1.5702e-05,1.0114e-05,4.5486000000000005e-05,0.00032656,0.00026302
1.48,2.2948e-05,1.1542e-05,5.2114e-05,0.00033512,0.0002722
1.52,2.7418e-05,1.3576e-05,5.9076e-05,0.0003451,0.00028068
1.56,3.125e-05,1.666e-05,6.6096e-05,0.00035722,0.0002935
1.6,3.5454e-05,2.104e-05,7.7528e-05,0.000372,0.00031112
1.64,4.0856e-05,2.6676e-05,9.3386e-05,0.00039028,0.00033748
1.68,4.8208e-05,3.38e-05,0.000113452,0.00041566,0.0003733
1.72,5.812e-05,4.3288e-05,0.00013868,0.0004613,0.000444
1.76,7.1862e-05,5.7212e-05,0.00017048,0.00056936,0.00052066
1.8,9.2598e-05,7.8642e-05,0.00021276,0.00074214,0.0006452
1.84,0.00012594,0.000114868,0.00027696,0.00100434,0.00081326
1.88,0.00018054,0.0001845,0.00038744,0.0013354,0.00105046
1.92,0.00027008,0.00031714,0.00057086,0.0017262,0.001362
1.96,0.0004062,0.00054206,0.00083052,0.0021738,0.001737
2.0,0.00058872,0.00086246,0.0011536,0.0026614,0.002171
