VDD1,IDD1,IDD2,IDD3,IDD4,IDD5
0.8,0.0106756,0.0018216,0.00040726,9.46174e-08,5.3810000000000006e-11
0.84,0.0111936,0.00205,0.00067998,9.89624e-08,-3.6800000000000005e-11
0.88,0.011744,0.002289,0.000998,1.0619320000000001e-07,5.798e-11
0.92,0.012268,0.0025382,0.0013438,1.1116980000000001e-07,-3.299e-11
0.96,0.012792,0.0028016,0.0017098,1.1416e-07,6.172000000000001e-11
1.0,0.013314,0.0030784,0.0020872,1.223e-07,-3.6330000000000005e-11
1.04,0.013828,0.0033748,0.0024752,1.2822e-07,6.412000000000001e-11
1.08,0.01435,0.0036854,0.00287,1.3562e-07,-3.081e-11
1.12,0.014876,0.0040134,0.00327,1.4466e-07,6.551e-11
1.16,0.015388,0.0043534,0.003676,1.5142e-07,-2.8310000000000004e-11
1.2,0.015916,0.0047112,0.004084,1.5832e-07,6.423000000000001e-11
1.24,0.016436,0.0050778,0.004496,1.6746e-07,-2.0860000000000003e-11
1.28,0.016954,0.0054492,0.0049096,1.7674e-07,6.445000000000001e-11
1.32,0.017466,0.0058214,0.005326,1.8242e-07,-1.8930000000000003e-11
1.36,0.01799,0.00621,0.0057464,1.9154e-07,6.874e-11
1.4,0.018508,0.0065942,0.0061664,2.0176e-07,-1.4000000000000002e-11
1.44,0.019032,0.0069864,0.0065904,2.1008e-07,6.764000000000001e-11
1.48,0.019548,0.0073744,0.0070154,2.163e-07,-1.271e-11
1.52,0.020072,0.0077692,0.0074426,2.2578e-07,6.968000000000001e-11
1.56,0.020596,0.008164,0.0078734,2.351e-07,-4.550000000000001e-12
1.6,0.021108,0.0085564,0.0083038,2.4322e-07,7.122e-11
1.64,0.021606,0.0089506,0.0087318,2.512e-07,-5.000000000000001e-12
1.68,0.022148,0.0093468,0.0091642,2.624e-07,7.287e-11
1.72,0.022658,0.0097442,0.0095978,2.7488e-07,-7.100000000000001e-13
1.76,0.023186,0.010138,0.010035,2.8606e-07,7.102e-11
1.8,0.023678,0.0105316,0.010476,2.9688e-07,6.1e-12
1.84,0.024192,0.010928,0.010922,3.1164e-07,7.168e-11
1.88,0.024678,0.0113286,0.0113664,3.264e-07,1.007e-11
1.92,0.025212,0.011766,0.01184,3.3888e-07,7.67e-11
1.96,0.025968,0.012206,0.012286,3.5366e-07,6.950000000000001e-12
2.0,0.026606,0.012592,0.012732,3.723e-07,8.477e-11
