VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
0.72,0.013328,2.71226e-08,-2.0776e-09,0.00083388,0.0008128
0.76,0.014078,-1.49806e-08,4.554e-08,0.0014418,0.0013596
0.8,0.014816,1.7239199999999997e-08,4.0448e-09,0.0021856,0.0020184
0.84,0.015568,-2.6668e-09,8.148e-08,0.0030296,0.002755
0.88,0.016308,-8.5476e-09,2.04336e-08,0.0039486,0.0035534
0.92,0.017054,2.01788e-08,7.76e-08,0.004922,0.0043934
0.96,0.017792,-3.3785599999999994e-08,-6.908e-08,0.0059408,0.005271
1.0,0.018546,4.68224e-08,-3.1307199999999995e-08,0.0069938,0.0061778
1.04,0.019288,-4.90798e-08,-7.131999999999999e-08,0.0080768,0.0071148
1.08,0.020036,5.1032e-08,-1.7513399999999998e-08,0.009178,0.0080794
1.12,0.020768,-5.16926e-08,8.066e-08,0.0102964,0.009063
1.16,0.021526,4.8045e-08,-7.014e-08,0.0114286,0.0101452
1.2,0.022272,-3.83872e-08,-1.7138599999999997e-08,0.012578,0.0111606
1.24,0.023056,2.92016e-08,-4.53578e-08,0.01372,0.012238
1.28,0.023824,-1.27292e-08,-2.99748e-08,0.014872,0.013262
1.32,0.024646,9.353999999999999e-10,-7.17e-08,0.016016,0.01457
1.36,0.025476,1.07256e-08,-1.72576e-08,0.017158,0.015602
1.4,0.02643,-2.3261e-08,7.602e-08,0.018306,0.016686
1.44,0.027414,3.7766e-08,-1.121e-07,0.019434,0.017968
1.48,0.028518,-4.63484e-08,-2.91022e-08,0.020564,0.019336
1.52,0.029666,4.7768e-08,-8.408e-08,0.02168,0.021052
1.56,0.030882,-5.093499999999999e-08,4.364e-08,0.022798,0.022638
1.6,0.032096,4.04656e-08,-1.6655999999999997e-08,0.023882,0.02422
1.64,0.033374,-3.11706e-08,3.518e-08,0.024978,0.025896
1.68,0.034688,1.80188e-08,-7.9234e-09,0.026036,0.027534
1.72,0.035972,-4.4449999999999994e-09,3.428e-08,0.027108,0.030046
1.76,0.037358,-6.6239999999999995e-09,-4.4579999999999985e-09,0.028136,0.033266
1.8,0.038726,1.8302e-08,4.974e-08,0.029162,0.034718
1.84,0.04012,-3.31198e-08,4.1317999999999985e-09,0.030172,0.038364
1.88,0.041516,4.492779999999999e-08,8.088e-08,0.031146,0.040304
1.92,0.042914,-4.81524e-08,2.08906e-08,0.032086,0.042422
1.96,0.044292,5.05694e-08,-2.95868e-08,0.033012,0.045378
2.0,0.04573,-5.08878e-08,-9.022e-08,0.03409,0.048448
