VNN,IDD1,IDD2,IDD3,IDD4,IDD5
1.32,0.0001487,0.0014104,0.0101312,0.0097484,0.0008117
1.36,0.00105938,0.001818,0.0105602,0.01083,0.0012334
1.4,0.0019728,0.0021816,0.0110524,0.011404,0.0016696
1.44,0.0028638,0.002554,0.011618,0.012012,0.0021022
1.48,0.003776,0.0029188,0.01222,0.01259,0.0025
1.52,0.0047036,0.003227,0.012866,0.01318,0.0028514
1.56,0.0056068,0.0035016,0.013534,0.013818,0.0031228
1.6,0.0065242,0.0037274,0.014246,0.01456,0.0033556
1.64,0.0074308,0.0039276,0.014946,0.0153,0.0036174
1.68,0.0083396,0.0041322,0.015652,0.016096,0.0039444
1.72,0.0092464,0.0043382,0.01635,0.016878,0.0045214
1.76,0.010173,0.0046138,0.017028,0.017778,0.005143
1.8,0.011089,0.0049944,0.017712,0.01867,0.0058122
1.84,0.011984,0.0054552,0.01841,0.01966,0.0065628
1.88,0.012908,0.0059698,0.019166,0.020472,0.0073266
1.92,0.013832,0.0065094,0.019954,0.021348,0.0080846
1.96,0.014742,0.0070646,0.020776,0.022316,0.0089702
2.0,0.015654,0.0076322,0.021618,0.023286,0.0097588
