VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
1.52,0.0029986,0.00104554,0.0052016,0.0042584,0.0058712
1.56,0.0034598,0.0011816,0.005494,0.0045282,0.0062172
1.6,0.0039192,0.0013368,0.0058056,0.0048146,0.0065822
1.64,0.0043836,0.0014968,0.0061338,0.0051196,0.0069706
1.68,0.0048464,0.0016648,0.0064766,0.0054416,0.007385
1.72,0.0053088,0.00185,0.0068356,0.0057824,0.0077962
1.76,0.005765,0.0020306,0.0072072,0.006137,0.0082338
1.8,0.006232,0.0022198,0.0075958,0.006506,0.0086886
1.84,0.006698,0.0024076,0.0079972,0.0068894,0.0091522
1.88,0.007166,0.0027018,0.0084154,0.007286,0.0096318
1.92,0.007632,0.002858,0.0088502,0.0076992,0.0101298
1.96,0.0081102,0.003077,0.009302,0.0081286,0.0106274
2.0,0.0085788,0.0032554,0.0097694,0.0085764,0.0111332
