VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
1.08,-2.20586e-08,0.0012618,0.0027448,0.0033584,0.0027116
1.12,-2.7496e-08,0.0013934,0.0029826,0.003668,0.002795
1.16,2.4308e-08,0.0015284,0.0032418,0.00388,0.0033954
1.2,-1.18912e-08,0.0016656,0.0034874,0.0040968,0.0040522
1.24,1.1317399999999998e-08,0.0018054,0.0037898,0.0043516,0.0044074
1.28,5.98346e-08,0.0019484,0.0042262,0.0046204,0.0047372
1.32,-5.975659999999999e-08,0.0020896,0.004863,0.0049078,0.0050688
1.36,5.87606e-08,0.0022404,0.0054,0.0051966,0.0054098
1.4,-5.86666e-08,0.0023918,0.0058544,0.0055052,0.0057526
1.44,6.02382e-08,0.00255,0.0062932,0.005833,0.00614
1.48,-5.97562e-08,0.0027056,0.0067464,0.0062332,0.00658
1.52,6.03442e-08,0.0028644,0.0072184,0.0067688,0.0070256
1.56,-5.3109e-08,0.0030192,0.0077078,0.0073322,0.0074584
1.6,5.528299999999999e-08,0.0031934,0.0082144,0.00781,0.0078964
1.64,-5.31824e-08,0.0033626,0.0087358,0.0082372,0.0083448
1.68,3.73314e-08,0.0035374,0.0092676,0.008661,0.0088066
1.72,-3.9722e-08,0.0037172,0.0098132,0.0090854,0.0092818
1.76,3.61188e-08,0.0039004,0.0103682,0.0095174,0.009768
1.8,-9.492799999999997e-09,0.0040924,0.010934,0.0099592,0.0102648
1.84,-4.44658e-08,0.0042832,0.011514,0.0104082,0.010772
1.88,3.88778e-08,0.0044842,0.012094,0.0108898,0.011286
1.92,-3.50626e-08,0.0046762,0.012682,0.0114264,0.011812
1.96,3.77024e-08,0.0049036,0.013278,0.01194,0.012344
2.0,-3.3488599999999995e-08,0.005116,0.01388,0.01243,0.01288
