VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
0.88,-3.9995e-08,0.0017652,0.00026454,0.00022278,5.8048e-05
0.92,6.43824e-08,0.0019814,0.00052998,0.00044614,6.9622e-05
0.96,-5.30762e-08,0.0022234,0.00062822,0.00053496,0.00029488
1.0,5.42778e-08,0.002484,0.00073554,0.0006378,0.00059292
1.04,-3.88326e-08,0.0027494,0.00084798,0.00076218,0.00069044
1.08,6.067519999999999e-08,0.003012,0.00019366,0.00092234,0.0008063
1.12,-4.61452e-08,0.0032964,0.00111816,0.00114186,0.00095288
1.16,4.58988e-08,0.003589,0.00039474,0.001385,0.00108474
1.2,-2.1601e-08,0.003896,0.0006002,0.0017698,0.0007603
1.24,-4.56742e-08,0.0042034,0.00090658,0.0022716,0.00112256
1.28,-5.888e-08,0.0045292,0.0013216,0.0028722,0.001563
1.32,-3.42928e-08,0.0048614,0.0018384,0.0036052,0.0020732
1.36,5.92738e-08,0.005203,0.0024434,0.0043786,0.0026378
1.4,-5.03308e-08,0.005543,0.0031224,0.0045604,0.0032492
1.44,6.146599999999999e-08,0.0058956,0.0038678,0.0054032,0.0038944
1.48,-5.62354e-08,0.0062578,0.0046646,0.0062898,0.004573
1.52,5.821739999999999e-08,0.0066172,0.0054998,0.0072062,0.0052736
1.56,-1.5914e-08,0.006996,0.0063702,0.0081556,0.0059964
1.6,7.52012e-08,0.0073684,0.0072774,0.009132,0.0067356
1.64,-5.51112e-08,0.0077112,0.008214,0.0101376,0.0074944
1.68,6.264699999999999e-08,0.008082,0.0091776,0.0111642,0.008259
1.72,5.1126e-09,0.0084492,0.0102546,0.01222,0.0090378
1.76,5.44046e-08,0.008817,0.0114458,0.013288,0.0098254
1.8,3.77e-09,0.009203,0.012796,0.01438,0.0106234
1.84,1.2189999999999996e-09,0.0096164,0.014286,0.01549,0.0114268
1.88,-4.79e-08,0.0099882,0.015868,0.01661,0.01224
1.92,8.3e-08,0.0103564,0.017628,0.01775,0.013056
1.96,8.11024e-08,0.01073,0.01923,0.018898,0.01388
2.0,-1.89676e-08,0.0111294,0.02081,0.020062,0.014698
