VCP,IDD1,IDD2,IDD3,IDD4,IDD5
1.12,-0.001656,4.2675e-06,1.863e-05,0.00011526,0.00070018
1.16,-0.0010772,4.7372e-06,1.866e-05,0.00014364,0.00082268
1.2,-0.0005002,5.4168e-06,1.8656e-05,0.00017618,0.00092598
1.24,7.0928e-05,6.223900000000001e-06,1.8712e-05,0.0002134,0.00100978
1.28,0.00062002,7.091e-06,1.872e-05,0.0002603,0.00108584
1.32,0.0012006,7.9263e-06,1.8592e-05,0.0003259,0.0011472
1.36,0.0018226,8.703100000000001e-06,1.8654e-05,0.00040686,0.001253
1.4,0.002351,9.3753e-06,1.8746e-05,0.00051628,0.001349
1.44,0.0029248,1.0234e-05,1.8648e-05,0.0006564,0.0014504
1.48,0.0035078,1.4112e-05,1.872e-05,0.00082336,0.0015622
1.52,0.004082,1.7346e-05,1.8732e-05,0.0009998,0.0016798
1.56,0.0046594,2.0642e-05,1.83e-05,0.001269,0.0018042
1.6,0.0052258,2.4138e-05,1.8792e-05,0.0014518,0.0019368
1.64,0.005801,2.8392e-05,1.8804e-05,0.001645,0.0020902
1.68,0.006374,3.4456000000000003e-05,1.883e-05,0.0018376,0.0023172
1.72,0.0069718,4.5448e-05,1.888e-05,0.002047,0.0024928
1.76,0.0075184,7.4536e-05,1.9142e-05,0.0022672,0.0028396
1.8,0.0080954,0.00011912,1.9792e-05,0.0024858,0.0031506
1.84,0.0087238,0.00021778,2.2044e-05,0.0026956,0.0034708
1.88,0.0093034,0.0003357,2.9058e-05,0.0029392,0.0037948
1.92,0.0098758,0.00046058,4.9288e-05,0.0031648,0.0041416
1.96,0.0104546,0.00058448,9.4296e-05,0.0033938,0.0044858
2.0,0.0110242,0.00070356,0.00017544,0.003625,0.0048294
