VNN,IDD1,IDD2,IDD3,IDD4,IDD5
0.64,5.20056e-08,-1.29896e-08,-8.198e-08,0.0011834,6.1736e-05
0.68,-4.07294e-08,2.63324e-08,-2.56948e-08,0.0014934,9.5262e-05
0.72,6.004759999999999e-08,-4.242e-08,-9.144e-08,0.0018206,0.00014488
0.76,-5.58356e-08,4.77946e-08,5.262e-08,0.0021608,0.00023154
0.8,5.14636e-08,-4.944479999999999e-08,-1.31948e-08,0.0025122,0.00036262
0.84,-4.40908e-08,5.07568e-08,4.328e-08,0.0028734,0.00053276
0.88,5.96838e-08,-5.118219999999999e-08,2.7951e-08,0.0032458,0.00073452
0.92,-5.6171e-08,4.6455e-08,-2.2818e-08,0.0036312,0.00096242
0.96,5.00592e-08,-3.74028e-08,2.77358e-08,0.0040328,0.0012132
1.0,-4.078319999999999e-08,3.1563e-08,-2.5783999999999997e-09,0.004448,0.0014852
1.04,4.02404e-08,-1.53816e-08,4.04244e-08,0.004878,0.0017782
1.08,-8.2404e-09,3.7385999999999995e-09,-2.09544e-08,0.00532,0.002095
1.12,-2.68712e-08,7.8494e-09,-4.982e-08,0.005768,0.002442
1.16,2.42062e-08,-1.90222e-08,8.758e-08,0.0062226,0.0028256
1.2,-2.64706e-08,3.13878e-08,2.008e-08,0.0066826,0.0032468
1.24,2.33474e-08,-4.26224e-08,-5.95592e-08,0.007146,0.0036994
1.28,3.51884e-08,4.069e-08,-1.6869999999999998e-08,0.0076078,0.004178
1.32,-3.29518e-08,-4.7166e-08,-1.3036e-07,0.0080734,0.004676
1.36,3.71052e-08,4.80752e-08,-3.89066e-08,0.0085404,0.005187
1.4,-3.934439999999999e-08,-5.07978e-08,-8.409999999999998e-08,0.0090064,0.00571
1.44,1.529e-08,5.125819999999999e-08,-2.37758e-08,0.009473,0.006237
1.48,-1.7372599999999998e-08,-4.824559999999999e-08,8.642e-08,0.0099452,0.0067736
1.52,-3.3584799999999995e-08,4.6347e-08,-4.158e-08,0.0104208,0.0073134
