VNN,IDD1,IDD2,IDD3,IDD4,IDD5
1.4,0.0064086,-5.9732e-05,8.699900000000001e-06,0.005771,0.004537
1.44,0.0073536,-1.9996e-05,1.1308e-05,0.0059414,0.0048918
1.48,0.0082958,1.1156e-05,1.2512e-05,0.0074124,0.0052538
1.52,0.009254,3.4166000000000005e-05,1.296e-05,0.0080264,0.0056342
1.56,0.0102034,4.9098e-05,2.3728e-05,0.0086546,0.0060608
1.6,0.01116,5.8146e-05,2.7414e-05,0.0092924,0.0065874
1.64,0.012106,6.621200000000001e-05,2.5204e-05,0.0099326,0.0072354
1.68,0.013066,7.3806e-05,3.2062e-05,0.0106186,0.0079646
1.72,0.014016,8.7822e-05,5.0042e-05,0.0113684,0.0087392
1.76,0.014962,9.4014e-05,9.4452e-05,0.012028,0.0095444
1.8,0.015908,0.00016952,0.00021806,0.012784,0.0103614
1.84,0.016866,0.00032366,0.00051536,0.013426,0.0111842
1.88,0.017816,0.00052242,0.00099266,0.014078,0.012022
1.92,0.018768,0.00073912,0.0015888,0.014802,0.012858
1.96,0.01971,0.00096636,0.0022574,0.015546,0.013692
2.0,0.02066,0.0011918,0.00297,0.016388,0.014526
