VCP,IDD1,IDD2,IDD3,IDD4,IDD5
0.72,6.010739999999999e-08,1.4156e-05,3.5834e-05,3.7742e-05,0.00023454
0.76,-5.740039999999999e-08,1.4986e-05,5.0134000000000005e-05,5.1606e-05,0.00027818
0.8,3.30286e-08,1.5404e-05,8.2338e-05,6.9948e-05,0.00032768
0.84,-3.5540999999999994e-08,1.6188e-05,2.004e-05,9.8084e-05,0.00038286
0.88,3.95582e-08,1.7160000000000002e-05,2.6136e-05,3.1106e-05,0.0004318
0.92,-2.13968e-08,1.8618e-05,3.5084e-05,4.425600000000001e-05,0.00042524
0.96,-3.47094e-08,1.9534e-05,5.3392e-05,5.577e-05,0.00046266
1.0,5.06502e-08,2.1042e-05,7.4298e-05,6.7236e-05,0.00055258
1.04,-5.613059999999999e-08,2.2162e-05,0.000104744,9.2204e-05,0.00060354
1.08,5.766559999999999e-08,2.3258e-05,0.00017208,0.0001633,0.00065854
1.12,-6.0192e-08,2.4152e-05,0.00022724,0.00020888,0.0007201
1.16,6.049359999999999e-08,2.5078e-05,0.00029344,0.00026726,0.00078672
1.2,-5.828e-08,2.6034e-05,0.00042026,0.00034632,0.00087668
1.24,5.16204e-08,2.7118e-05,0.000481,0.00047716,0.00096556
1.28,-4.07108e-08,2.8094e-05,0.0005434,0.00051328,0.00106574
1.32,6.106439999999999e-08,2.8874e-05,0.0009762,0.0005367,0.001237
1.36,-5.635699999999999e-08,2.9636e-05,0.0015392,0.0017978,0.0013668
1.4,5.20792e-08,3.0246e-05,0.00156,0.0019382,0.00161
1.44,-5.36766e-08,3.146e-05,0.0016442,0.0020664,0.0023676
1.48,4.36452e-08,3.23e-05,0.0017464,0.0022132,0.0025134
1.52,-2.88666e-08,3.3220000000000004e-05,0.0018568,0.0023614,0.0026484
1.56,-2.81848e-08,3.4524000000000004e-05,0.0019718,0.0025166,0.0027934
1.6,4.77232e-08,3.5076e-05,0.0020908,0.002681,0.0029426
1.64,-5.6290799999999993e-08,3.6936e-05,0.0022164,0.002857,0.0031246
1.68,5.775099999999999e-08,3.7798e-05,0.0023444,0.0030168,0.0032686
1.72,-5.98852e-08,3.8644000000000005e-05,0.0025936,0.0031704,0.0034198
1.76,6.06492e-08,4.045e-05,0.00283,0.0033654,0.0035736
1.8,-5.53856e-08,4.237e-05,0.0030562,0.0035694,0.003731
1.84,4.47502e-08,4.419e-05,0.0032726,0.0037864,0.0039342
1.88,-3.2305e-08,4.4836e-05,0.0034756,0.0040134,0.0041832
1.92,-2.54082e-08,4.754e-05,0.0036814,0.00428,0.0044132
1.96,4.02262e-08,4.9576e-05,0.0038812,0.0045312,0.0046238
2.0,-5.99078e-08,5.1206e-05,0.0040794,0.0047982,0.0048342
