VCP,IDD1,IDD2,IDD3,IDD4,IDD5
0.56,-5.45794e-08,3.4438999999999995e-08,-1.918e-08,3.9056e-06,1.6986e-05
0.6,5.64492e-08,-3.56808e-08,-4.404e-08,4.024700000000001e-06,2.2262e-05
0.64,-5.943919999999999e-08,2.39754e-08,1.2454e-07,4.1149e-06,3.0342e-05
0.68,6.0175e-08,-7.926599999999997e-09,3.78306e-08,4.6099000000000005e-06,4.339e-05
0.72,-5.5011e-08,-3.2033999999999995e-09,7.826e-08,5.5094e-06,6.3778e-05
0.76,4.44888e-08,1.2742e-08,2.87194e-08,6.976000000000001e-06,9.2524e-05
0.8,-3.49648e-08,-2.4573e-08,1.0846e-07,7.918100000000001e-06,0.00013012
0.84,5.19876e-08,4.10394e-08,-2.62e-09,1.2694e-05,0.00017576
0.88,-5.56988e-08,-4.79948e-08,5.64e-08,2.1254e-05,0.00022712
0.92,6.005159999999999e-08,4.93326e-08,-8.877999999999999e-08,3.011e-05,0.000284
0.96,-5.30226e-08,-5.05898e-08,-3.06546e-08,4.3116e-05,0.00034516
1.0,4.36362e-08,5.12504e-08,8.352e-08,5.9094e-05,0.00041058
1.04,-3.0766399999999994e-08,-4.51764e-08,-4.366e-08,7.8808e-05,0.00048044
1.08,-2.39418e-08,3.75136e-08,-3.1734e-09,0.000101776,0.00055424
1.12,4.03838e-08,-2.93396e-08,1.8993e-08,0.0001189,0.00063182
1.16,-5.447799999999999e-08,2.75082e-08,1.0924e-07,0.00015016,0.00071478
1.2,5.940139999999999e-08,-2.99584e-08,2.38926e-08,0.00018564,0.00080262
1.24,-5.952819999999999e-08,3.36458e-08,7.271999999999998e-08,0.00022836,0.00089588
1.28,5.62098e-08,-3.52464e-08,-9.672e-08,0.00028508,0.00099476
1.32,-4.72352e-08,3.731e-08,5.05e-08,0.00036632,0.00110238
1.36,4.20086e-08,-1.78122e-08,8.6374e-09,0.00047992,0.001246
1.4,-4.27614e-08,5.7752e-09,8.372e-08,0.00064118,0.0013582
1.44,4.51124e-08,-7.9756e-09,2.8109e-08,0.00084034,0.0014726
1.48,-3.39208e-08,-8.737599999999997e-09,7.862e-08,0.00106582,0.001597
1.52,3.84062e-08,2.49486e-08,-8.648e-08,0.00142,0.001747
1.56,-4.02854e-08,-2.27272e-08,-1.84458e-08,0.0016624,0.0019924
1.6,1.4075999999999998e-08,3.5291599999999994e-08,-9.734e-08,0.0019212,0.0021764
1.64,-1.7611599999999997e-08,-4.7096e-08,6.15e-08,0.0021998,0.0024478
1.68,5.578879999999999e-08,4.5328599999999993e-08,1.17774e-08,0.002484,0.0027594
1.72,-5.586979999999999e-08,-4.68466e-08,8.995999999999998e-08,0.0027862,0.0030442
1.76,5.563239999999999e-08,5.01722e-08,2.8902e-08,0.0030904,0.0033402
1.8,-5.64968e-08,-4.9497799999999993e-08,9.272e-08,0.0034046,0.0036396
1.84,5.65072e-08,5.113079999999999e-08,4.85744e-08,0.0037306,0.0039422
1.88,-5.57368e-08,-5.06558e-08,1.0974e-07,0.0040714,0.0042576
1.92,5.91716e-08,5.01702e-08,3.38876e-08,0.0044154,0.0045716
1.96,-5.89466e-08,-5.095299999999999e-08,8.834e-08,0.0047588,0.0048964
2.0,5.958019999999999e-08,5.03286e-08,2.2978e-08,0.0051036,0.0052186
