VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
1.56,0.0082906,0.001209,0.014152,0.021416,0.027722
1.6,0.0090236,0.0015058,0.01553,0.022752,0.029226
1.64,0.0097604,0.0018182,0.01699,0.024186,0.030722
1.68,0.0105002,0.0021446,0.018492,0.025626,0.03222
1.72,0.011215,0.002483,0.01997,0.02717,0.03372
1.76,0.011972,0.002831,0.021826,0.028828,0.03522
1.8,0.012686,0.0031892,0.023478,0.030472,0.03671
1.84,0.013424,0.0035544,0.024992,0.032218,0.038178
1.88,0.01415,0.0039268,0.026508,0.033982,0.03968
1.92,0.0149,0.0043068,0.028064,0.035726,0.04118
1.96,0.015626,0.0046926,0.029718,0.037312,0.042652
2.0,0.016374,0.0050844,0.03027,0.038914,0.044204
