VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
1.36,0.00102828,3.9053000000000005e-06,9.4172e-05,0.00016902,0.00081834
1.4,0.001494,5.6888000000000005e-06,0.00016112,0.00027532,0.00107752
1.44,0.0019554,9.3242e-06,0.00025052,0.0004494,0.0013564
1.48,0.0024186,1.6324e-05,0.00037066,0.00069698,0.0016456
1.52,0.0028864,3.0334e-05,0.00050042,0.00095746,0.0019356
1.56,0.0033492,5.4598e-05,0.0006868,0.001185,0.0022212
1.6,0.0038152,9.465e-05,0.00089992,0.0014666,0.0025008
1.64,0.0042806,0.00014888,0.00111438,0.0018038,0.0027842
1.68,0.0047438,0.00022994,0.0013324,0.0021016,0.0030906
1.72,0.0052066,0.00033238,0.001558,0.0024178,0.0034232
1.76,0.0056714,0.00045548,0.0017882,0.002731,0.0037658
1.8,0.0061396,0.0005966,0.0020254,0.0030496,0.00414
1.84,0.0066068,0.00075486,0.002267,0.0033686,0.004537
1.88,0.0070704,0.00092874,0.002511,0.0036906,0.0050296
1.92,0.0075404,0.00111498,0.0027644,0.004016,0.0054472
1.96,0.0080096,0.0013066,0.0030196,0.004349,0.0058814
2.0,0.0084792,0.0015142,0.003289,0.004676,0.0063136
