VCP,IDD1,IDD2,IDD3,IDD4,IDD5
1.28,-4.7976e-05,0.0017914,0.00044352,0.0005362,0.00088154
1.32,0.00052782,0.0020184,0.0005867,0.00066382,0.001011
1.36,0.00111136,0.002248,0.00074124,0.00078868,0.0011618
1.4,0.0016946,0.0024776,0.00089906,0.0009095,0.0013284
1.44,0.0022758,0.002706,0.00105282,0.00102818,0.0015052
1.48,0.0028572,0.0029378,0.0011968,0.00114128,0.001688
1.52,0.0034454,0.0031684,0.0013296,0.0012532,0.001871
1.56,0.0040254,0.0033998,0.0014524,0.0013628,0.0020492
1.6,0.0046116,0.0036334,0.0015672,0.0014716,0.0022212
1.64,0.0051924,0.0038636,0.001677,0.0015794,0.0023856
1.68,0.0057754,0.0040986,0.0017834,0.001686,0.0025436
1.72,0.0063516,0.0043332,0.0018868,0.0017918,0.0026964
1.76,0.006934,0.0045652,0.0019884,0.0018978,0.0028458
1.8,0.0075142,0.0047992,0.0020892,0.0020032,0.0029924
1.84,0.0081032,0.0050334,0.0021892,0.002109,0.0031368
1.88,0.0086812,0.0052674,0.0022894,0.0022154,0.0032804
1.92,0.0092612,0.0055002,0.0023896,0.0023214,0.003423
1.96,0.0098404,0.0057344,0.002489,0.0024272,0.0035654
2.0,0.0104236,0.005966,0.002589,0.0025332,0.0037066
