VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
1.6,-0.0017882,0.011734,0.026496,0.0016982,0.021334
1.64,-0.0013012,0.01206,0.028336,0.0020634,0.023776
1.68,-0.00081614,0.012364,0.030114,0.002459,0.025894
1.72,-0.0003325,0.012688,0.031862,0.002882,0.028322
1.76,0.00015702,0.01299,0.033644,0.0033282,0.03038
1.8,0.00064342,0.013284,0.035628,0.0037982,0.032624
1.84,0.0011274,0.013578,0.037602,0.0042908,0.034902
1.88,0.0016142,0.01386,0.039442,0.0048022,0.037102
1.92,0.0020952,0.014136,0.04124,0.0053338,0.039392
1.96,0.0025834,0.014392,0.043026,0.0058872,0.041716
2.0,0.0030622,0.01463,0.042454,0.0064666,0.043704
